Date,Close,High,Low,Open,Volume,symbol,close_change,close_pct_change
2025-10-01,156.0,156.5399932861328,154.25999450683594,154.4499969482422,2297900,MMM,0.0,0.0
2025-10-02,158.8000030517578,159.5800018310547,156.5399932861328,157.25999450683594,2167500,MMM,2.8000030517578125,1.7948737511268131
2025-10-03,158.66000366210938,160.38999938964844,157.7100067138672,158.9199981689453,3411600,MMM,-0.1399993896484375,-0.08816082302139927
2025-10-06,155.92999267578125,159.2100067138672,154.6300048828125,158.6999969482422,2421400,MMM,-2.730010986328125,-1.720667416686883
2025-10-07,155.3300018310547,157.94000244140625,155.17999267578125,156.8300018310547,1696700,MMM,-0.5999908447265625,-0.38478219259209245
2025-10-08,156.0,156.08999633789062,152.77999877929688,155.7100067138672,2084200,MMM,0.6699981689453125,0.43133854441979036
2025-10-09,152.8800048828125,156.60000610351562,151.3699951171875,156.10000610351562,2512200,MMM,-3.1199951171875,-1.9999968699919823
2025-10-10,148.75,154.25,148.4600067138672,153.24000549316406,3504400,MMM,-4.1300048828125,-2.7014683090691216
2025-10-13,151.10000610351562,152.42999267578125,150.4199981689453,150.57000732421875,2724800,MMM,2.350006103515625,1.5798360359768893
2025-10-14,152.52999877929688,153.7100067138672,149.27000427246094,149.27000427246094,2604800,MMM,1.42999267578125,0.9463882316467886
2025-10-15,153.47000122070312,155.66000366210938,152.7100067138672,153.69000244140625,2381500,MMM,0.94000244140625,0.6162738142851287
2025-10-16,151.41000366210938,154.47000122070312,150.61000061035156,154.47000122070312,4279200,MMM,-2.05999755859375,-1.342280277714536
2025-10-17,152.63999938964844,153.07000732421875,151.27000427246094,151.4499969482422,4494000,MMM,1.2299957275390625,0.8123609390327635
2025-10-20,154.77999877929688,156.07000732421875,153.02999877929688,153.22999572753906,4230400,MMM,2.1399993896484375,1.4019912199983775
2025-10-21,166.63999938964844,166.82000732421875,152.8000030517578,158.0,7302200,MMM,11.860000610351562,7.662489148396312
2025-10-22,167.22999572753906,169.17999267578125,165.52999877929688,167.16000366210938,5275800,MMM,0.589996337890625,0.35405445274339087
2025-10-23,171.60000610351562,171.6300048828125,166.7100067138672,167.22000122070312,4779100,MMM,4.3700103759765625,2.6131737652475007
2025-10-24,168.5,172.85000610351562,167.75,172.0,3612300,MMM,-3.100006103515625,-1.8065302990989296
2025-10-01,73.0999984741211,73.55999755859375,72.43000030517578,73.27999877929688,1053400,AOS,0.0,0.0
2025-10-02,73.54000091552734,73.97000122070312,72.79000091552734,73.1500015258789,831500,AOS,0.44000244140625,0.6019185370599089
2025-10-03,73.3499984741211,73.9000015258789,73.26000213623047,73.38999938964844,649600,AOS,-0.19000244140625,-0.25836611237535223
2025-10-06,72.41999816894531,73.1500015258789,72.19999694824219,72.87999725341797,704300,AOS,-0.9300003051757812,-1.2678941029615642
2025-10-07,71.4000015258789,72.5999984741211,71.37000274658203,72.51000213623047,808600,AOS,-1.0199966430664062,-1.4084461044681418
2025-10-08,71.06999969482422,71.54000091552734,70.69000244140625,71.44999694824219,806300,AOS,-0.3300018310546875,-0.4621874285746008
2025-10-09,69.7300033569336,71.06999969482422,69.54000091552734,71.02999877929688,1093700,AOS,-1.339996337890625,-1.8854598897489638
2025-10-10,67.75,70.1500015258789,67.66999816894531,69.75,1337900,AOS,-1.9800033569335938,-2.839528555302606
2025-10-13,67.68000030517578,68.72000122070312,67.54000091552734,68.08999633789062,1028300,AOS,-0.06999969482421875,-0.10332058276637524
2025-10-14,68.81999969482422,69.11000061035156,67.23999786376953,67.45999908447266,927500,AOS,1.1399993896484375,1.6843962537057777
2025-10-15,69.20999908447266,69.58000183105469,68.61000061035156,68.81999969482422,1072600,AOS,0.3899993896484375,0.5666948436179098
2025-10-16,69.36000061035156,69.54000091552734,68.75,69.51000213623047,1012100,AOS,0.15000152587890625,0.21673389374825547
2025-10-17,69.70999908447266,69.86000061035156,69.02999877929688,69.44000244140625,989400,AOS,0.34999847412109375,0.5046114057687179
2025-10-20,69.80999755859375,70.19000244140625,69.25,69.83000183105469,1074600,AOS,0.09999847412109375,0.14344925467566494
2025-10-21,71.0,71.02999877929688,69.47000122070312,69.87000274658203,1151500,AOS,1.19000244140625,1.7046304011218982
2025-10-22,68.19999694824219,70.83999633789062,68.12000274658203,70.83000183105469,1554500,AOS,-2.8000030517578125,-3.943666270081425
2025-10-23,69.04000091552734,69.36000061035156,68.0,68.16000366210938,868700,AOS,0.8400039672851562,1.2316774264999442
2025-10-24,68.9000015258789,70.19000244140625,68.87999725341797,69.87000274658203,1294900,AOS,-0.1399993896484375,-0.20278010977973215
2025-10-01,132.87911987304688,134.85035001631127,128.50855532817135,134.20323368981272,10613900,ABT,0.0,0.0
2025-10-02,132.4012451171875,132.7994681997223,129.9322133935139,131.83376127377673,5916700,ABT,-0.477874755859375,-0.35963118683803863
2025-10-03,133.99415588378906,134.77070154740497,132.20212158650727,132.6600918146271,5362200,ABT,1.5929107666015625,1.2030934944695426
2025-10-06,133.14793395996094,134.6412934091659,132.8592092926881,133.72536810326872,6745900,ABT,-0.846221923828125,-0.6315364414564817
2025-10-07,132.43112182617188,133.49637701350233,131.34593573449084,133.49637701350233,4816100,ABT,-0.7168121337890625,-0.5383576841715088
2025-10-08,133.6755828857422,134.1235876704223,131.5848736355851,132.2220397094326,6654800,ABT,1.2444610595703125,0.9397043855022158
2025-10-09,132.71981811523438,134.5317680474406,132.41119295323446,133.9841999255521,3237600,ABT,-0.9557647705078125,-0.714988294702068
2025-10-10,131.9831085205078,133.9045569530213,131.45544090007078,133.5959317802331,5654100,ABT,-0.7367095947265625,-0.555086350470213
2025-10-13,130.79837036132812,132.17225061120945,130.29061846809586,131.4156206882134,4008100,ABT,-1.1847381591796875,-0.8976437761318512
2025-10-14,132.6800079345703,132.74969013985924,130.6490306609937,130.87802337137632,8147900,ABT,1.8816375732421875,1.4385787590810217
2025-10-15,129.4499969482422,131.47999572753906,125.73999786376953,128.00999450683594,14906400,ABT,-3.230010986328125,-2.4344368353678147
2025-10-16,127.62999725341797,131.16000366210938,126.87000274658203,129.52999877929688,9768100,ABT,-1.8199996948242188,-1.4059480399616464
2025-10-17,128.5399932861328,129.25999450683594,127.20999908447266,127.86000061035156,6806800,ABT,0.9099960327148438,0.712995418238549
2025-10-20,129.50999450683594,129.82000732421875,128.1300048828125,128.44000244140625,5810000,ABT,0.970001220703125,0.754629898372472
2025-10-21,127.54000091552734,129.3000030517578,127.51000213623047,129.0,4934700,ABT,-1.9699935913085938,-1.5211131764850894
2025-10-22,127.94999694824219,128.94000244140625,127.11000061035156,127.62000274658203,6186800,ABT,0.40999603271484375,0.32146466188782696
2025-10-23,126.33999633789062,128.77000427246094,126.06999969482422,128.24000549316406,6700600,ABT,-1.6100006103515625,-1.2583045320453068
2025-10-24,126.8499984741211,128.11000061035156,125.0,126.97000122070312,5069100,ABT,0.5100021362304688,0.40367433197203706
2025-10-01,242.630859375,243.05777438590601,230.33946415539563,231.967725278787,12243100,ABBV,0.0,0.0
2025-10-02,234.8668212890625,240.93308961945533,232.84142923837834,239.16583116702694,8107700,ABBV,-7.7640380859375,-3.199938419184234
2025-10-03,232.2357940673828,237.1305003470694,232.03722859622334,235.20438346271646,6547300,ABBV,-2.6310272216796875,-1.1202209010363173
2025-10-06,228.54241943359375,231.28265930294376,226.2886626976344,230.05154428824963,11940300,ABBV,-3.6933746337890625,-1.590355461190207
2025-10-07,231.16351318359375,232.4045662661306,225.9610132077527,229.63452730214703,4901000,ABBV,2.62109375,1.1468740711225278
2025-10-08,229.58489990234375,231.3322972085272,228.03605291212952,229.82317240116598,5412800,ABBV,-1.57861328125,-0.6828989832821208
2025-10-09,229.03883361816406,232.1166362094727,228.96932737292542,231.60036902873125,4607600,ABBV,-0.5460662841796875,-0.23784939010011996
2025-10-10,228.85018920898438,233.0002634595037,228.85018920898438,229.85295464928564,6156900,ABBV,-0.1886444091796875,-0.08236350412706983
2025-10-13,228.65162658691406,232.13649824416194,227.57935488862842,228.35377081246128,5411900,ABBV,-0.1985626220703125,-0.0867653300863025
2025-10-14,227.49000549316406,228.999115176318,225.8815903512084,226.4375948734787,5527600,ABBV,-1.16162109375,-0.5080309775572278
2025-10-15,226.22000122070312,228.9499969482422,225.32000732421875,227.1999969482422,5459400,ABBV,-1.2700042724609375,-0.5582681620266206
2025-10-16,226.8699951171875,228.11000061035156,225.4600067138672,226.22000122070312,4737500,ABBV,0.649993896484375,0.28732821721197954
2025-10-17,229.57000732421875,230.7100067138672,226.80999755859375,227.52000427246094,7150000,ABBV,2.70001220703125,1.1901142791652886
2025-10-20,232.05999755859375,232.25999450683594,230.0,231.0,5246700,ABBV,2.489990234375,1.084632205834457
2025-10-21,231.38999938964844,232.80999755859375,229.8300018310547,232.14999389648438,3298100,ABBV,-0.6699981689453125,-0.28871764888136475
2025-10-22,228.67999267578125,232.16000366210938,228.42999267578125,231.6699981689453,3523500,ABBV,-2.7100067138671875,-1.1711857560895211
2025-10-23,228.25,229.86000061035156,227.25,228.99000549316406,5818000,ABBV,-0.42999267578125,-0.18803248624853497
2025-10-24,227.99000549316406,229.0399932861328,226.25,228.77999877929688,3553200,ABBV,-0.2599945068359375,-0.11390777955572196
